name,id,rarity,type,extraTypes,shop,price,staminaCost,minDam,maxDam,cd,accuracy,chance,chance2,shopChance,block,p1,p2,p3,p4,p5,material,canActivate,recipes,gateItem,tags,gain,use,remove,threshold,weight,p6,p7,p8,p9,p10,appropriated,demo,earliestRound,latestRound,requires,version,animation,physics,textEffect,class_override
Cursed Dagger,146,Unique,Melee Weapon,Dark,Reaper>Hexblade,10,0,4,7,2.8,95,1:crit,,,,2:debuffs,1:accuracy,,,,Stone,,,,,Debuff,,,,,,,,,,,,,,,0.5.0,Stab,,,
Snake,166,Unique,Pet,Nature,Reaper>Venomancer,10,,,,2.2,,4,,,,4:luck,2:poison,40:maxhealth,,,,,,,,"Poison,Lucky",,,,,,,,,,,no,,,,0.9.0,Hiss,,Poison,
Cauldron,167,Unique,Accessory,Magic,Reaper>Alchemist,10,,,,2.6,,,,,,20:heal,6:mana,5:heat,15:speedbonus,,Metal,,,,,"Mana,Heat",,,,,,,,,,,no,,,,0.9.0,SquishyJump,Dense,,
Mrs Struggles,242,Legendary,Accessory,Dark,no,7,,,,4.7,,,,,,10:bonusspeed,,,,,Leather,,,Mr Struggles,,,,Buff,,,,,,,,,no,,,,0.9.0,Struggle,Plush,,
Miss Fortune,243,Epic,Accessory,Dark,no,7,,,,2.1,,,,,,1:luck,3:buffs,,,,Leather,,,Mr Struggles,,Buff,Lucky,,,,,,,,,,no,,,,0.9.0,Struggle,Plush,,
Strong Demonic Flask,171,Godly,Potion,Dark,no,14,,,,,,,,,,50:opphpt,0.6:dam,30:healreduction,3:dur,25:ownhpt,Glass,,,,,,,,,,100:lifesteal,,,,,,no,,,,0.7.4,,,,
Strong Vampiric Potion,175,Godly,Potion,Vampiric,no,12,,,,,,,,,,80:healtht,5:vampirism,35:lifesteal,6:dur,,Glass,,,,,Vampirism,,,,,,,,,,,no,,,,0.9.0,,,,
Strong Divine Potion,177,Godly,Potion,Holy,no,15,,,,,,,,,,10:debufft,10:cleanses,8:buffs,,,Glass,,,,,Buff,,Debuff,,,,,,,,,no,,,,0.9.0,,,,
Fire Pit,113,Unique,Bag,,Pyromancer,20,,,,,,25,,,,5:maxhealth,,,,,Metal,,,,,,,,,,,,,,,,,,,,0.9.0,,,,
Portable Altar,254,Unique,Bag,,Pyromancer,8,,,,,,,,,,1:empower,,,,,Metal,,,,,,,,,,,,,,,,,,,,0.9.16,,Dense,,
Flame,114,Common,Accessory,Fire,Pyromancer,1,,,,,,,,,,,,,,,Fire,,,,,Heat,,,,,,,,,,"Anvil,Stone Badge",,,,,0.9.0,VerySquishyJump,Floaty,,
Chili Pepper,117,Rare,Food,Nature,Pyromancer,5,,,,4.5,,,,,,1:heat,5:heal,10:heatt,,,Squishy,,,,,Heat,,Debuff,,,,,,,,,,,,,0.9.0,VerySquishyJump,Light,,
Draconic Orb,120,Epic,Accessory,Fire,Pyromancer,8,,,,3.8,,,,,,15,3:crits,1,1,,Jewelry,,,,,Heat,,Spikes,4,,,,,,,,,,,,0.9.0,SquishyJump,BouncyDense,,
Phoenix,115,Legendary,Ranged Weapon,"Pet,Fire,Effect",Pyromancer,10,0,15,20,2.5,85,,,,,10:selfdam,6:reincarnate_health,,,,Fire,,Flame+Flame+Flame+Flame>Phoenix2,,,,Heat,,,,,,,,,,,,,,0.9.0,SquishyJump,Floaty,,
Burning Sword,228,Epic,Melee Weapon,Fire,no,9,1,2,4,1.6,90,60,,,,1:heat,7:heatt,1:bonusdam,,,Metal,,Whetstone+Whetstone>Burning Blade,,,Heat,,,,,,,,,,,,,,,0.9.0,Slash,,,
Burning Blade,116,Legendary,Melee Weapon,Fire,no,17,1,8,10,1.6,90,,,,,1:heat,6:heatt,1:bonusdam,,,Fire,,,,,Heat,,,,,,,,,,,,,,,0.9.0,Slash,,,
Sun Armor,224,Godly,Armor,"Holy, Fire",no,14,,,,3,,,,,70,1:heat,1:heatt,12:heal,2:cleanse,,Metal,,,,,Heat,Heat,Debuff,,,,,,,,,,,,,0.9.0,,Dense,,
Sun Shield,225,Godly,Shield,"Holy, Fire",no,13,,,,,,30,,,,18:damblock,0.7:stamina,12:blockt,4:dam,,Metal,,,,,,,,,,,,,,,,,,,,0.9.0,Block,Dense,,
Molten Dagger,211,Epic,Melee Weapon,Fire,no,6,0,3,7,3.5,95,,,,,1,2,,,,Metal,,,,,,Heat,,,,,,,,,,,,,,0.9.0,Stab,,,
Molten Spear,212,Epic,Melee Weapon,Fire,no,8,1,3,8,1.5,65,,,,,1:heatt,5:missdam,5:blockremoval,,,Metal,,Flame+Flame+Flame+Flame>Molten Spear2,,,,Heat,,,,,,,,,,,,,,0.9.0,Stab,,,
Staff of Fire,121,Legendary,Ranged Weapon,"Fire,Magic",no,18,1,10,12,1.8,90,,,,,2,2,6:bonusdam,,,Wood,,,,Staff,,"Mana,Heat",,,,,,,,,,,,,,0.9.0,Wave,,,
Flame Whip,122,Legendary,Melee Weapon,Fire,no,10,1.5,6,10,1.7,90,,,,,1:spikes,4:heat,8:bonusdam,,,Squishy,,,,,Heat,Spikes,,,,,,,,,,,,,,0.9.0,Slash,,,
Chili Goobert,205,Epic,Pet,Nature,no,11,,,,,,,,,,6:activations,16:heal,2:heat,,,Slime,,Light Goobert+Steel Goobert+Blood Goobert>Rainbow Goobert Pyromancer,,,Heat,,Debuff,,,,,,,,,,,,,0.9.0,Squish,Slime,,
Obsidian Dragon,123,Godly,Ranged Weapon,"Pet,Fire,Effect",no,18,0,11,16,2.1,90,,,,,5:heatt,2:dambonus,,,,Dragon,,,,Dragon,,,,,,,,,,,,,,,,0.9.0,SquishyJump,Dense,,
Molten Greatsword,425,Godly,Melee Weapon,Fire,no,18,5,40,50,5,90,,,,,5:empowert,1.5:stamina,2:cd,2:heat,4:empower,Metal,,,,,Empower,Heat,,,,10:fire,,,,,,,,,,1.0.0,Chop,,,
Fire Shelly,426,Epic,Pet,"Fire,Holy,Nature",no,8,,,,12,,25:cleanse,,,,6:debuffs,40:heal,30:speed,2:heat,,Squishy,,,,,Heat,,Debuff,,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Rainbow Goobert Pyromancer,219,Godly,Pet,"Vampiric, Holy, Nature",no,53,,,,,,,,,20,9:activations,40:heal,2,4,4,Slime,,,,,"Vampirism,Blind,Heat",,,,,3:blind,,,,,,,,,,0.9.0,Squish,Slime,Rainbow,
Friendly Fire,154,Unique,Pet,"Magic,Fire",Pyromancer>Firebender,10,,100,100,2.9,,,,,,1:manat,2:heat,10:speed,20:heatt1,5:luck,Fire,,,,,"Heat,Regeneration,Lucky",Mana,,,,40:heatt2,15:regen,60:heatt3,,,,,,,,0.9.0,VerySquishyJump,Floaty,,
Burning Banner,155,Unique,Accessory,"Holy,Fire",Pyromancer>Crusader,10,,,,4.2,,80:blind,25,,,5:dur_blind,2:buffs,2:regen,,,Leather,,,,,"Regeneration,Blind",,Buff,,,,,,,,,,,,,0.9.0,SquishyJump,Floaty,,
Dark Lantern,158,Unique,Accessory,"Dark,Fire",Pyromancer>Ashbringer,10,,5,5,,,,,,,50,50,1.3:dur_invu,,7:debuffs,Metal,,,,,Debuff,,,,,,,,,,,,,,,0.9.0,,,,
Frozen Flame,185,Unique,Accessory,Ice,Pyromancer>Cryomancer,10,,,,,,1.5:crit,,15,25,6:heat,2:cold,2:critdam,,,Ice,,,,,Cold,,,,,,,,,,,,,,,0.9.0,,Ice,,
Dragon Nest,195,Unique,Accessory,,Pyromancer>Scalewarden,10,,,,,,,,20,,8:heal,4:luck,4:regen,8:mana,4:heat,Leather,,,,,"Lucky,Regeneration,Mana,Heat",,,,,,,,,,,,,,,0.9.0,SquishyJump,Plush,,
Spell Scroll Frostbolt,178,Rare,Spell,"Ice,Magic",no,4,,5,5,3,,,,,,3,,4:cold,3:dur_cold,,Paper,,,Frozen Flame,,Cold,,,,,,,,,,,,,,,0.9.0,VerySquishyJump,,,
Ice Armor,180,Epic,Armor,Ice,no,11,,,,4.7,,,,,100,4,1,2,10,,Ice,,,Frozen Flame,,Cold,Heat,,,,,,,,,,,,,,0.9.0,,Ice,,
Frozen Buckler,181,Epic,Shield,Ice,no,8,,,,,,30,,,,12:damblock,0.9:stamina,1,10,,Ice,,,Frozen Flame,,Cold,,,,,,,,,,,,,,,0.9.0,Block,Ice,,
Frostbite,184,Legendary,Melee Weapon,"Ice,Vampiric",no,11,1,4,7,1.7,90,45,,,,1,0.4:dam,30,12:vampirism,,Ice,,,Frozen Flame,,"Vampirism,Cold",,,,,,,,,,,,,,,0.9.0,Slash,Ice,,
Ice Dragon,236,Godly,Ranged Weapon,"Pet,Ice,Effect",no,14,0,15,20,2.1,90,,,,90,1:cold,10:coldt,20:damfactor,,,Dragon,,,Frozen Flame,Dragon,Cold,,,,,,,,,,,no,,,,0.9.0,,Ice,,Reaper
Emerald Egg,196,Legendary,Pet,,no,10,,,,,,,,,,3,2,,,,Stone,,,Dragon Nest,,Lucky,,,,,,,,,,,,,,,0.9.0,SquishyJump,Dense,,
Emerald Whelp,197,Godly,Ranged Weapon,"Pet,Effect",no,14,0,5,10,2.1,90,,,,,3,3,,,,Dragon,,,Emerald Egg,Dragon,"Lucky,Poison",,,,,,,,,,,,,,,0.9.0,SquishyJump,Dense,,
Sapphire Egg,198,Legendary,Pet,Magic,no,10,,,,,,,,,,6:mana,2,,,,Stone,,,Dragon Nest,,Mana,,,,,,,,,,,,,,,0.9.0,SquishyJump,Dense,,
Sapphire Whelp,199,Godly,Ranged Weapon,"Pet,Magic,Effect",no,14,0,5,10,2.1,90,,,,10,6:mana,1:manat,,,,Dragon,,,Sapphire Egg,Dragon,Buff,Mana,,,,,,,,,,,,,,0.9.0,SquishyJump,Dense,,
Amethyst Egg,200,Legendary,Pet,Dark,no,10,,,,,,,,,,4,2,,,,Stone,,,Dragon Nest,,Debuff,,,,,,,,,,,,,,,0.9.0,SquishyJump,Dense,,
Amethyst Whelp,201,Godly,Ranged Weapon,"Pet,Dark,Effect",no,14,0,5,10,2.1,90,,,,,4,,,,,Dragon,,,Amethyst Egg,Dragon,Debuff,,Buff,,,,,,,,,,,,,0.9.0,SquishyJump,Dense,,
Berserker Bag,129,Unique,Bag,,Berserker,16,,,,,,,,,,50:healtht,5:dur_rage,35:speed_rage,25:damresistance,,Leather,,,,BattleRage,,,,,,,,,,,,,,,,0.9.0,,,,
Toolbox,255,Unique,Bag,,Berserker,18,,,,5,,,,,,30:dambonus,30:speedreduction,5.5:dur_rage,35:lifesteal,,Metal,,,,BattleRage,,,,,,,,,,,,no,,,,0.9.16,,,,
Forging Hammer,130,Unique,Melee Weapon,,Berserker,3,0,2,5,3.5,95,,,,,1,,,,,Metal,,,,,,,,,,,,,,,,,,,,0.9.0,Bonk,Dense,,
Axe,132,Rare,Melee Weapon,,Berserker,6,1.4,3,6,2,85,,,,,1,,,,,Metal,,"Axe>Double Axe,Whetstone3+Spear>Halberd",,,,,,,,,,,,,,,,,,0.9.0,Slash,Dense,,
Spiked Collar,131,Legendary,Accessory,,Berserker,6,,,,,,,,,,2:dur_rage,1:spikes,,,,Jewelry,,,,,Spikes,,,,,,,,,,,,,,,0.9.0,SquishyJump,,,
Cheese,203,Legendary,Food,Nature,Berserker,8,,,,3.8,,,,,,10:maxhealth,1,,,,Squishy,,,,,Buff,,,,,,,,,,,,,,,0.9.0,VerySquishyJump,Light,,
Double Axe,133,Epic,Melee Weapon,,no,12,2,6,12,1.8,85,,,,,2,3,,,,Metal,,,,,,,,,,,,,,,,,,,,0.9.0,Slash,Dense,Steel,
Chain Whip,134,Legendary,Melee Weapon,Holy,no,8,2.1,4,9,2.4,85,,,,,2:purge,15:heal,1:bonusdam,,,Metal,,,,,,,Buff,,,,,,,,,,,,,0.9.0,Slash,Dense,Steel,
Dragonscale Armor,135,Epic,Armor,,no,7,,,,,,,,,45,8:damreduction,,,,,Leather,,,,,,,,,,,,,,,,,,,,0.9.0,SquishyJump,,,
Dragon Claws,136,Epic,Gloves,,no,4,,,,,,10,,,,40,,,,,Leather,,,,,,,,,,,,,,,,,,,,0.9.0,SquishyJump,,,
Dragonskin Boots,153,Epic,Shoes,,no,6,,,,,,20,,,20,3,1,,,,Leather,,,,,Empower,,,,,,,,,,,,,,,0.9.0,SquishyJump,,,
Busted Blade,152,Godly,Melee Weapon,,no,14,5,40,50,5,95,,,,,5:empowerdam,3:buffedstam,2.5:buffedcd,,,Metal,,,,,,,,,,,,,,,,,,,,0.9.0,Chop,Dense,Steel,
Spiked Staff,259,Legendary,Melee Weapon,Magic,no,16,1,10,12,1.8,90,,,,,3:mana,2:empower,5:spikes,,,Wood,,,,Staff,"Empower,Spikes",Mana,,,,,,,,,,,,,,0.9.8,Bonk,,,
Cheese Goobert,204,Godly,Pet,Nature,no,14,,,,,,,,,,5:activations,22:maxhealth,2,,,Slime,,Light Goobert+Steel Goobert+Blood Goobert>Rainbow Goobert Berserker,,,Buff,,,,,,,,,,,,,,,0.9.0,Squish,Slime,,
Spiked Wall,428,Godly,Shield,,no,14,,,,,,30,,,,15:damblock,0.3:stamina,3:spikes,12:maxspikes,30:staminaregen,Wood,,,,,Spikes,,,,,2:dur_rage,30:spikedam,,,,,,,,,1.0.0,Block,Dense,,
Rainbow Goobert Berserker,220,Godly,Pet,"Vampiric, Holy, Nature",no,56,,,,,,,,,20,9:activations,40:maxhealth,2,2,4,Slime,,,,,Buff,,,,,3:blind,,,,,,,,,,0.9.0,Squish,Slime,Rainbow,
Anvil,147,Unique,Accessory,,Berserker>Blacksmith,10,,,,,,,,,,1:bonusdam,5:stamina,,,,Metal,,,,,,,,,,,,,,,,,,,,0.9.0,,VeryDense,,
Deer Totem,148,Unique,Accessory,"Nature,Magic",Berserker>Chieftain,10,,,,1,,,,,,15:damreduction,0.8:dur_rage,8:heal,3:mana,,Wood,,,,,Mana,,,,,,,,,,,,,,,0.9.0,SquishyJump,,,
Wolf Emblem,137,Unique,Accessory,,Berserker>Pack Leader,10,,,,2.3,,10:critchance,12:critperpet,25,10,1:empower,10:blockt,,,,Metal,,,,,Empower,,,,,,,,,,,,,,,0.9.0,SquishyJump,,Steel,
Shaman Mask,186,Unique,Accessory,,Berserker>Shaman,10,,,,3.8,,,,16,,1,2,5,,,Wood,,,,,Buff,Lucky,,,,,,,,,,,,,,0.9.0,SquishyJump,,,
Brass Knuckles,202,Unique,Melee Weapon,,Berserker>Fighter,10,0,3,5,2.6,90,50,5:crit,,,0.3:dur_stun,5:accuracy,,50:ragespeed,,Metal,,,,,,,,,,,,,,,,,,,,0.9.0,Stab,Dense,,
Courage Puppy,149,Legendary,Melee Weapon,"Pet,Nature,Effect",no,7,0,5,7,3.5,95,,,,,2,,,,,,,Forging Hammer*>Armored Courage Puppy,Wolf Emblem,,,,,,,,,,,,,,,,,0.9.0,VerySquishyJump,Floaty,Dog,
Wisdom Puppy,150,Legendary,Pet,Nature,no,7,,,,4,,,,,10,1,15,,,,,,Forging Hammer*>Armored Wisdom Puppy,Wolf Emblem,,,,Cold,,,,,,,,,,,,,0.9.0,VerySquishyJump,Floaty,Dog,
Power Puppy,151,Legendary,Pet,Nature,no,7,,,,3.2,,,,,,1,1,1,10,,,,Forging Hammer*>Armored Power Puppy,Wolf Emblem,,"Lucky,Regeneration,Empower",,,,,,,,,,,,,,,0.9.0,VerySquishyJump,Floaty,Dog,
Armored Courage Puppy,221,Godly,Melee Weapon,"Pet,Nature,Effect",no,7,0,7,9,3.5,95,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.9.0,SquishyJump,Dense,Dog2,
Armored Wisdom Puppy,222,Godly,Pet,Nature,no,7,,,,4,,,,,14,1,15,1,,,,,,,,,,Cold,,,,,,,,,,,,,0.9.0,SquishyJump,Dense,Dog2,
Armored Power Puppy,223,Godly,Pet,Nature,no,7,,,,2.8,,,,,,1,1,1,10,20,,,,,,"Lucky,Regeneration,Empower",,,,,,,,,,,,,,,0.9.0,SquishyJump,Dense,Dog2,
Badger Rune,187,Legendary,Gem,,no,4,,,,,,,,,,3:attackspeed,7:damreduction,10:stamina,,,Stone,,,Shaman Mask,,,,,,,,,,,,,,,,,0.9.0,,,,
Elephant Rune,188,Legendary,Gem,,no,4,,,,3,,25,40,,,0.5:dur_stun,4:dur_resist,50:maxhealth,,,Stone,,,Shaman Mask,,,,,,,,,,,,,,,,,0.9.0,,,,
Hawk Rune,189,Legendary,Gem,,no,4,,,,2.4,,40,,,,12:critchance,15:critdam,,,,Stone,,,Shaman Mask,,Blind,,,,,,,,,,,,,,,0.9.0,,,,
Tiger Rune,190,Legendary,Gem,,no,4,,,,,,11:buffs,,,,1:vampirism,10:buffs,5:block,50:chance_vamp,,Stone,no,,Shaman Mask,,,,,,,,,,,,,,,,,1.0.0,,,,
Unidentified Skill,439,Unique,Skill,,"Neutral 1,2",3,,,,,,,,,,,,,,,Paper,,,,,,,,,,,,,,,,no,,,,1.0.0,Scale,,,
Just Stats,362,Unique,Skill,,Neutral 1,5,,,,,,,,,,12:maxhealth,10:stamina,,,,Paper,,,,,,,,,,,,,,,,no,,,,0.9.24,VerySquishyJump,,,
Spicy Banana,287,Unique,Skill,Nature,Neutral 1,5,,,,,,65:heat,,,,2:heat,1:stamina,3:heal,,,Paper,,,,,Heat,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Smelly Barrier,288,Unique,Skill,Nature,Neutral 1,5,,,,,,,,,,5:blockbonus,13:blockt,1:poison,,,Paper,,,,,Poison,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Piggy Pinata,290,Unique,Skill,,Neutral 1,5,,,,,,5:crit,,30,,,,,,,Paper,no,,,,,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Investment Opportunity,291,Unique,Skill,,Neutral 1,5,,,,,,,,,,1:gold,7:maxhealth,,,,Paper,no,,,,,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Slime Time,297,Unique,Skill,,Neutral 1,5,,,,1.7,,,,10,,,,,,,Paper,,,,,,,,,,,,,,,,no,,,,0.9.20,Squish,,,
Goobling,296,Common,Pet,,no,2,,,,,,,,,,3:activations,4:heal,,,,Slime,,Goobling>Goobert,Slime Time,,,,,,,,,,,,,no,,,,0.9.20,Squish,,,
Smithing For Dummies,307,Unique,Skill,,Neutral 1,5,,,,,,,,,,1:dam,35:stamina,,,,Paper,no,,,,,,,,,,,,,,,no,,,,0.9.20,Scale,,,
Uniquely Unique,364,Unique,Skill,,Neutral 1,5,,,,,,,,,,20:speed,10:speed2,65:uniques,2:uniquest,,Paper,no,,,,,,,,,,,,,,,no,,,,0.9.24,VerySquishyJump,,,
Dig Deeper,369,Unique,Skill,,Neutral 1,5,,,,,,,,,,2:blind,,,,,Paper,,,,,Blind,,,,1.5,,,,,,,no,,,Shovel,0.9.28,VerySquishyJump,,,
Knife to Meet You,370,Unique,Skill,,Neutral 1,5,,,,12,,,,,,40:speed,50:dam,60:speed2,,,Paper,,,,,,,,,,,,,,,,no,,,,0.9.28,VerySquishyJump,,,
Extra Bags,292,Unique,Skill,,Neutral 1,5,,,,,,,,,,45:sales,2:bagweight,15:speed,,,Paper,no,,,,,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Shielded,299,Unique,Skill,,"Neutral 1,2",5,,,,,,,,,,30:chance,60:speed,,,,Paper,no,,,,,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Stoned,300,Unique,Skill,,"Neutral 1,2",5,,,,,,,,,,65:blockfordam,22:damreduction,,,,Paper,no,,,,,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Thornburst,365,Unique,Skill,,"Neutral 1,2",5,,,,6.5,,,,,,0.3:dur_stun,2:spikes,5:max,5:speed,,Paper,,,,,Spikes,,,,,,,,,,,no,,,,0.9.24,VerySquishyJump,,,
Heavy Drinking,356,Unique,Skill,,"Neutral 1,2",5,,,,10,,,,,,90:speed,,,,,Paper,,,,,,,,,,,,,,,,no,,,,0.9.24,VerySquishyJump,,,
Mana Mastery,305,Unique,Skill,Magic,"Neutral 1,2",5,,,,4.5,,,,,,20:buffs,3:mana,25:speed,,,Paper,,,,,Mana,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Power of the Moon,306,Unique,Skill,Magic,"Neutral 1,2",5,,,,,,,,,,6:time,2:blind,70:maxhealth,,,Paper,,,,,Blind,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Girl Power,359,Unique,Skill,,"Neutral 1,2",5,,,,7,,,,,,2:regen,2:empower,35:speed,,,Paper,,,,,"Empower,Regeneration",,,,,,,,,,,no,,,,0.9.24,VerySquishyJump,,,
Blood Manipulation,360,Unique,Skill,Vampiric,"Neutral 1,2",5,,,,4,,,,,,15:unhealing,1:vampirism,30:speed,,,Paper,,,,,Vampirism,,,,,,,,,,,no,,,,0.9.24,VerySquishyJump,,,
Echoing Battlecry,383,Unique,Skill,,"Neutral 1,2",5,,,,14,,,,,,65:speed,,,,,Paper,,,,,,,,,,,,,,,,no,,,,0.9.33,VerySquishyJump,,,
Enchanted Weapons,385,Unique,Skill,,"Neutral 1,2",5,,,,5.2,,25,,,,1:buffs,,,,,Paper,,,,,Buff,,,,,,,,,,,no,,,,0.9.33,VerySquishyJump,,,
No Rush Please,386,Unique,Skill,,"Neutral 1,2",5,,,,,,,,,,35:damreduction,10:dur,5:cold,,,Paper,,,,,Cold,,,,,,,,,,,no,,,,0.9.33,VerySquishyJump,,,
Double Rainbow,388,Unique,Skill,,"Neutral 1,2",5,,,,6,,20,,,,35:speed,,,,,Paper,,,,,Buff,,,,,,,,,,,no,,,,0.9.37,VerySquishyJump,,Rainbow,
False Life,390,Unique,Skill,Dark,"Neutral 1,2",5,,,,7,,,,,,20:healthamp,10:heal,4:heal_dark,,,Paper,,,,,,,,,,,,,,,,no,,,,0.9.37,VerySquishyJump,,,
Fortunas Kiss,438,Unique,Skill,,"Neutral 1,2",5,,,,3.5,,,,,,35:chance,5:luckt,,,,Paper,,,,,Buff,,,,,,,,,,,no,,,,1.0.0,VerySquishyJump,,,
More Stats,363,Unique,Skill,,Neutral 2,5,,,,,,,,,,12:maxhealth,5:dam,,,,Paper,,,,,,,,,,,,,,,,no,,,,0.9.24,VerySquishyJump,,,
Bagtacular,361,Unique,Skill,,Neutral 2,5,,,,,,,,,,7:speed,7:stamina,2:buffs,15:block,,Paper,no,,,,,,,,,,,,,,,no,,,,0.9.24,VerySquishyJump,,,
Buy the Holy Light,357,Unique,Skill,Holy,Neutral 2,5,,,,,,,,,,40:speed,20:sales,,,,Paper,no,,,,,,,,,,,,,,,no,,,,0.9.24,VerySquishyJump,,,
Hardwood,301,Unique,Skill,,Neutral 2,5,,,,,,,,,22,165:dam,,,,,Paper,,,,,,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Time Melting,382,Unique,Skill,,Neutral 2,5,,,,,,,,,,5:heat,60:bonusdur,,,,Paper,,,,,Heat,,,,,,,,,,,no,,,,0.9.33,VerySquishyJump,,,
Full Body Protection,389,Unique,Skill,,Neutral 2,5,,,,4,,,,,10,8:damreduction,35:block,,,,Paper,,,,,,,,,,,,,,,,no,,,,0.9.37,VerySquishyJump,,,
Markswoman,294,Unique,Skill,,Ranger 1,5,,,,,,,,,,20:dam,40:speed,15:acc,,,Paper,no,,,,,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Acorn Ace,286,Unique,Skill,Nature,Ranger 2,5,,,,,,,,,,10:stamina,75:stamina2,,,,Paper,no,,,,,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Mushroom Farm,289,Unique,Skill,Nature,Reaper 1,5,,,,,,,,,,2:num,50:speed,,,,Paper,no,,,,,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Heart of the Cards,358,Unique,Skill,,"Reaper 1,2",5,,,,,,,,,,6:mana,3:regen,3:pos,,,Paper,,,,,"Mana,Regeneration",,,,1.2,,,,,,,no,,,Deck of Cards,0.9.24,VerySquishyJump,,,
Dark Ritual,304,Unique,Skill,Dark,Reaper 2,5,,,,17,,,,,,20:debuffs,12:vampirism,35:speed,,,Paper,,,,,"Vampirism,Debuff",,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Extra Angy,293,Unique,Skill,,Berserker 1,5,,,,1,,,,,,100:dur,,,,,Paper,,,,,,,,,,,,,,,,,,,,0.9.20,VerySquishyJump,,,
Dragon Set,303,Unique,Skill,,Berserker 2,5,,,,0.7,,,,,,1:heat,2:lifesteal,30:max,,,Paper,,,,,Heat,,,,,,,,,,,,,,,0.9.20,VerySquishyJump,,,
Everburning,298,Unique,Skill,Fire,Pyromancer 1,5,,,,7,,,,,,1:heat,60:stamina,,,,Paper,,,,,Heat,,,,,,,,,,,,,,,0.9.20,VerySquishyJump,,,
Solaris,302,Unique,Skill,Holy,Pyromancer 2,5,,,,,,60,20:heatdup,,16,1:heat,,,,,Paper,,,,,Heat,,,,,,,,,,,,,,,0.9.20,VerySquishyJump,,,
Arcane Intellect,414,Unique,Skill,Magic,Mage 1,5,,,,,,,,50:restock,,50:bookchance,30:speed,,,,Paper,,,,,,,,,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Ultima,415,Unique,Skill,Magic,Mage 2,5,,,,10,,,,,15,2:luck,2:spikes,2:cold,3:regen,75:speed,Paper,,,,,"Buff,Cold",,Buff,,,,,,,,,,,,,1.0.0,VerySquishyJump,,Rainbow,
Level Up,412,Unique,Skill,,Adventurer 1,5,,,,5,,,,,,10:maxhealth,1:stamina,1:mana,1:luck,10:speed,Paper,,,,,"Mana,Lucky",,,,,3:skillround,,,,,,,,,,1.0.0,VerySquishyJump,,,
Dual Wielding,413,Unique,Skill,,Adventurer 2,5,,,,,,,,,,20:speed,30:stamina,,,,Paper,no,,,,,,,,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
Scholar Bag,347,Unique,Bag,,Mage,16,,,,,,30,50,,,5:mana,,,,,Leather,,,,,Mana,,,,,,,,,,,,,,,1.0.0,,,,
Puzzlebox,403,Unique,Bag,,Mage,16,,,,5,,,,75,,20:speed,50:speed2,,,,Wood,,,,,,,,,,,,,,,,,,,,1.0.0,,,,
Chess Board,312,Rare,Accessory,,Mage,2,,,,0.9,,,,70,,2:gold,,,,,Wood,,,,Singular,,,,,,,,,,,,,,,,1.0.0,VerySquishyJump,,,
White Pawn,313,Common,Chess Piece,,no,1,,,,,,,,,,1:luck,2:regen,,,,Wood,,,Chess Board,,"Regeneration,Lucky",,,,,,,,,,,,,,,1.0.0,,,,
Black Pawn,314,Common,Chess Piece,,no,1,,,,,,,,,,3:mana,2:poison,,,,Wood,,,Chess Board,,"Mana,Poison",,,,,,,,,,,,,,,1.0.0,,,,
White Knight,315,Rare,Chess Piece,,no,3,,,,,,,,,,50:speed,2.5:stamina,,,,Wood,,,Chess Board,,,,,,,,,,,,,,,,,1.0.0,,,,
Black Knight,316,Rare,Chess Piece,,no,3,,,,,,,,,,3:vampirism,2.5:stamina,,,,Wood,,,Chess Board,,Vampirism,,,,,,,,,,,,,,,1.0.0,,,,
White Bishop,317,Rare,Chess Piece,,no,3,,,,,,,,,,10:cleanse,25:healamp,,,,Wood,,,Chess Board,,,,Debuff,,,,,,,,,,,,,1.0.0,,,,
Black Bishop,318,Rare,Chess Piece,,no,3,,,,,,,,,,5:debuffs,20:healreduction,20:healthreduction,,,Wood,,,Chess Board,,Debuff,,,,,,,,,,,,,,,1.0.0,,,,
White Rook,319,Epic,Chess Piece,,no,5,,,,,,,,,35,35:dam,3:dur,,,,Wood,,,Chess Board,,,,,,,,,,,,,,,,,1.0.0,,,,
